energy,max,risetime,MED,RMS-DS,kurtosis
100236043.4,2074.992322,2.89E-10,2.05E-08,1.82E-15,112.7894484
90358403.56,2056.260039,2.48E-10,1.94E-08,1.77E-15,91.7173533
196462406.5,2769.340551,4.13E-10,1.44E-08,1.26E-15,101.9708786
34107413.02,1015.051391,2.48E-10,3.38E-08,3.18E-15,69.8864381
109084768.1,2409.070073,2.48E-10,1.64E-08,1.57E-15,114.1589046
176636841.5,3197.51033,3.31E-10,1.52E-08,1.38E-15,156.3498952
92291248.35,1453.46153,2.07E-10,3.12E-08,2.02E-15,41.03318692
92531155.8,1201.197757,2.07E-10,3.60E-08,1.87E-15,25.75995961
76576079.97,957.6177465,2.07E-10,3.76E-08,2.16E-15,20.73455554
74720015,794.4811125,1.00E-10,4.31E-08,2.18E-15,16.04816002
101083248.4,1130.802477,2.07E-10,3.57E-08,1.90E-15,26.55206945
117001576.4,1781.197582,2.48E-10,2.69E-08,1.94E-15,67.6721666
81842764.12,1383.502619,3.72E-10,3.15E-08,2.12E-15,48.5843256
95048917.24,1629.376716,2.07E-10,2.53E-08,1.96E-15,72.9768614
